epoch,z_bias,z_std_ratio,ks,gen_z_le_0,gen_z_ge_1,gen_z_gt_0.99,gen_z_gt_0.999,gen_z_max,g4_z_le_0,g4_z_ge_1,g4_z_gt_0.99,g4_z_gt_0.999,g4_z_max,phys_reg,n_rows
5699,-0.000666305422782898,0.9987133145332336,0.004548,0.00455,0.0,0.001132,0.000125,0.9999987483024597,2e-06,0.0,0.000772,7.4e-05,0.999993622303009,nan,1000000
5799,-0.0008498728275299072,0.9989543557167053,0.004327999999999999,0.00433,0.0,0.001201,0.000134,0.9999727010726929,2e-06,0.0,0.000772,7.4e-05,0.999993622303009,nan,1000000
5899,-0.00022123754024505615,0.9989853501319885,0.004095000000000001,0.003833,0.0,0.001196,0.00013,0.9999943971633911,2e-06,0.0,0.000772,7.4e-05,0.999993622303009,nan,1000000
5999,-0.00035819411277770996,1.0036393404006958,0.004947,0.004949,0.0,0.001319,0.000127,0.9999978542327881,2e-06,0.0,0.000772,7.4e-05,0.999993622303009,nan,1000000
6099,-0.0007101893424987793,1.000363826751709,0.005278,0.00528,0.0,0.001007,9.4e-05,0.9999958276748657,2e-06,0.0,0.000772,7.4e-05,0.999993622303009,nan,1000000
6199,-0.000289037823677063,0.999560534954071,0.005071000000000003,0.003589,0.0,0.0011,0.000108,0.9999662637710571,2e-06,0.0,0.000772,7.4e-05,0.999993622303009,nan,1000000
6299,-6.845593452453613e-05,1.0002329349517822,0.004786000000000002,0.003601,0.0,0.001072,0.000109,0.9999995231628418,2e-06,0.0,0.000772,7.4e-05,0.999993622303009,nan,1000000
6399,-0.0006351172924041748,1.001869559288025,0.0051730000000000005,0.005175,0.0,0.001025,0.000103,0.999977171421051,2e-06,0.0,0.000772,7.4e-05,0.999993622303009,nan,1000000
6499,-0.0003716796636581421,1.001306176185608,0.0040950000000000005,0.004095,0.0,0.000945,8.5e-05,0.9999886751174927,2e-06,0.0,0.000772,7.4e-05,0.999993622303009,nan,1000000
6599,-0.0006538033485412598,0.9995401501655579,0.004205,0.003698,0.0,0.001064,0.000105,0.9999910593032837,2e-06,0.0,0.000772,7.4e-05,0.999993622303009,nan,1000000
6699,-0.00013741850852966309,1.0020519495010376,0.00436,0.004362,0.0,0.00111,0.00011,0.9999912977218628,2e-06,0.0,0.000772,7.4e-05,0.999993622303009,nan,1000000
6799,-0.0009596645832061768,1.0003726482391357,0.004601999999999999,0.004603,0.0,0.001045,0.0001,0.999991774559021,2e-06,0.0,0.000772,7.4e-05,0.999993622303009,nan,1000000
6899,-0.000308111310005188,1.000180959701538,0.004666,0.004668,0.0,0.001114,0.000112,0.9999908208847046,2e-06,0.0,0.000772,7.4e-05,0.999993622303009,nan,1000000
6999,4.738569259643555e-05,1.0010231733322144,0.004307999999999999,0.004309,0.0,0.001274,0.000139,0.999990701675415,2e-06,0.0,0.000772,7.4e-05,0.999993622303009,nan,1000000
7099,-0.000705420970916748,0.9996986985206604,0.004352,0.004354,0.0,0.001189,0.000126,0.9999948143959045,2e-06,0.0,0.000772,7.4e-05,0.999993622303009,nan,1000000
7199,-0.0008072555065155029,0.9988772869110107,0.003998999999999999,0.003438,0.0,0.0011,9.3e-05,0.9999979138374329,2e-06,0.0,0.000772,7.4e-05,0.999993622303009,nan,1000000
7299,0.0005101710557937622,1.001651406288147,0.00457,0.004572,0.0,0.001374,0.000133,0.9999912977218628,2e-06,0.0,0.000772,7.4e-05,0.999993622303009,nan,1000000
7399,-0.00025431811809539795,1.0007930994033813,0.005150999999999999,0.005153,0.0,0.001347,0.000145,0.9999980926513672,2e-06,0.0,0.000772,7.4e-05,0.999993622303009,nan,1000000
7499,0.00030672550201416016,1.001020073890686,0.005111,0.005113,0.0,0.001235,0.000138,0.9999910593032837,2e-06,0.0,0.000772,7.4e-05,0.999993622303009,nan,1000000
