arm,epoch,physics_regularization
gan_cnt,26699,1.951137e-01
gan_cnt,26799,3.294152e-01
gan_cnt,26899,2.383818e-01
gan_cnt,26999,3.403902e-01
gan_cnt,27099,2.759739e-01
gan_cnt,27199,2.999390e-01
gan_cnt,27299,2.953105e-01
gan_cnt,27399,2.281523e-01
gan_cnt,27499,2.960305e-01
gan_cnt,27599,3.517445e-01
gan_cnt,27699,2.094880e-01
gan_cnt,27799,1.737187e-01
gan_cnt,27899,2.751248e-01
gan_cnt,27999,3.132009e-01
gan_cnt,28099,1.992346e-01
gan_cnt,28199,3.054376e-01
gan_cnt,28299,3.482069e-01
gan_cnt,28399,2.430108e-01
gan_cnt,28499,3.445263e-01
gan_cnt,28599,3.081279e-01
gan_cnt,28699,3.716686e-01
gan_cnt,28799,3.771786e-01
gan_cnt,28899,2.347246e-01
gan_cnt,28999,2.389318e-01
gan_cnt,29099,2.854778e-01
gan_cnt,29199,1.871097e-01
gan_cnt,29299,2.962672e-01
gan_cnt,29399,2.113975e-01
gan_cnt,29499,3.474122e-01
gan_cnt,29599,4.121345e-01
gan_cnt,29699,3.416979e-01
gan_cnt,29799,3.053564e-01
gan_cnt,29899,1.795675e-01
gan_cnt,29999,3.787517e-01
gan_cnt,30099,3.361685e-01
gan_cnt,30199,3.096387e-01
gan_cnt,30299,2.899890e-01
gan_cnt,30399,3.303640e-01
gan_cnt,30499,2.973150e-01
gan_cnt,30599,3.658222e-01
gan_cnt,30699,3.781362e-01
gan_cnt,30799,2.388802e-01
gan_cnt,30899,3.225251e-01
gan_cnt,30999,2.938367e-01
gan_cnt,31099,3.619925e-01
gan_cnt,31199,1.781223e-01
gan_cnt,31299,2.772152e-01
gan_cnt,31399,2.546431e-01
gan_cnt,31499,2.423307e-01
gan_cnt,31599,2.997157e-01
gan_cnt,31699,2.730497e-01
gan_cnt,31799,2.323098e-01
gan_cnt,31899,2.973878e-01
gan_cnt,31999,2.282879e-01
gan_cnt,32099,3.742625e-01
gan_cnt,32199,3.571538e-01
gan_cnt,32299,2.996046e-01
gan_cnt,32399,2.736197e-01
gan_cnt,32499,2.342496e-01
gan_cnt,32599,3.211141e-01
gan_cnt,32699,2.257489e-01
gan_cnt,32799,2.065874e-01
gan_cnt,32899,3.907630e-01
gan_cnt,32999,2.544157e-01
gan_cnt,33099,2.555813e-01
gan_cnt,33199,4.110980e-01
gan_cnt,33299,2.897298e-01
gan_cnt,33399,3.728388e-01
gan_cnt,33499,4.171308e-01
