epoch,z_bias,z_std_ratio,ks,gen_z_le_0,gen_z_ge_1,gen_z_gt_0.99,gen_z_gt_0.999,gen_z_max,g4_z_le_0,g4_z_ge_1,g4_z_gt_0.99,g4_z_gt_0.999,g4_z_max,phys_reg,n_rows
1599,0.002047053538262844,1.0016627311706543,0.0019040000000000168,0.482291,0.155534,0.158151,0.155791,3.9226741790771484,0.483048,0.154654,0.157202,0.154913,4.380011081695557,nan,1000000
1699,3.080139867961407e-05,0.9992502927780151,0.0012960000000000749,0.483225,0.154876,0.157443,0.155152,3.9715683460235596,0.483048,0.154654,0.157202,0.154913,4.380011081695557,nan,1000000
1799,0.000956889009103179,0.9988200664520264,0.0019560000000000133,0.482482,0.155161,0.157706,0.155428,3.970867395401001,0.483048,0.154654,0.157202,0.154913,4.380011081695557,nan,1000000
1899,0.0009267630521208048,0.998589277267456,0.0015359999999999818,0.482988,0.155489,0.158049,0.155756,3.950106143951416,0.483048,0.154654,0.157202,0.154913,4.380011081695557,nan,1000000
1999,0.0015005611348897219,0.9985091686248779,0.001735000000000042,0.482755,0.154836,0.157387,0.155105,3.9096624851226807,0.483048,0.154654,0.157202,0.154913,4.380011081695557,nan,1000000
2099,-0.0010945126414299011,0.9993647933006287,0.0021039999999999948,0.48379,0.155124,0.157644,0.155379,3.8758606910705566,0.483048,0.154654,0.157202,0.154913,4.380011081695557,nan,1000000
2199,0.0018145162612199783,0.9973831176757812,0.002477000000000007,0.482804,0.155791,0.158332,0.156051,3.898864984512329,0.483048,0.154654,0.157202,0.154913,4.380011081695557,nan,1000000
2299,0.0030589071102440357,0.9972594976425171,0.0025940000000000407,0.482299,0.156558,0.159067,0.156806,3.890742540359497,0.483048,0.154654,0.157202,0.154913,4.380011081695557,nan,1000000
2399,0.004249725956469774,0.99757319688797,0.002933000000000019,0.48145,0.156629,0.159132,0.156857,3.858358860015869,0.483048,0.154654,0.157202,0.154913,4.380011081695557,nan,1000000
2499,-0.0005507067544385791,0.9990877509117126,0.002986999999999962,0.483038,0.155559,0.158202,0.155845,3.763005495071411,0.483048,0.154654,0.157202,0.154913,4.380011081695557,nan,1000000
2599,-0.0027544426266103983,0.9976676106452942,0.004056999999999977,0.484505,0.154005,0.156687,0.154283,3.7047364711761475,0.483048,0.154654,0.157202,0.154913,4.380011081695557,nan,1000000
2699,0.002844786737114191,0.9974464178085327,0.0030080000000000107,0.481871,0.155013,0.157746,0.155257,3.6683175563812256,0.483048,0.154654,0.157202,0.154913,4.380011081695557,nan,1000000
2799,-0.00963694415986538,0.9967901110649109,0.0063070000000000626,0.487839,0.151476,0.153992,0.151736,3.7134058475494385,0.483048,0.154654,0.157202,0.154913,4.380011081695557,nan,1000000
2899,0.002225971780717373,0.9982080459594727,0.0023640000000000327,0.483726,0.15466,0.157253,0.154911,3.647634506225586,0.483048,0.154654,0.157202,0.154913,4.380011081695557,nan,1000000
2999,-0.003937157802283764,0.9984742403030396,0.003134999999999999,0.485702,0.1527,0.155225,0.152947,3.6722421646118164,0.483048,0.154654,0.157202,0.154913,4.380011081695557,nan,1000000
3099,-0.0009696815395727754,1.0012260675430298,0.002558999999999978,0.484256,0.153833,0.156276,0.154082,3.722357988357544,0.483048,0.154654,0.157202,0.154913,4.380011081695557,nan,1000000
3199,-0.001328689162619412,0.9993594884872437,0.002259000000000011,0.483872,0.154417,0.156888,0.154664,3.767209053039551,0.483048,0.154654,0.157202,0.154913,4.380011081695557,nan,1000000
